,question,answer,img_id,type
3122,hai người đàn ông nằm ở đâu,giường,261879,3
3123,em bé đang ngồi ở đâu,giường,175883,3
3124,một số trẻ em đang vui chơi ở đâu,cửa hàng,526098,3
3125,cặp trẻ em cạnh một cặp bồn rửa mặt ở đâu,gương,155519,3
3126,đĩa nhựa và dây xích ở trên rổ ở đâu,cái rổ,238114,3
3127,những người cẩn thận mang ván lướt sóng của họ ở đâu,vạch kẻ đường,565740,3
3128,một số loại rau trộn với nhau ở đâu,cái nồi,370613,3
3129,gia đình đang chơi wii ở đâu,nhà ở,235429,3
3130,nhiều bánh rán khác nhau ở đâu,hộp,425063,3
3131,người phụ nữ đặt pizza ở đâu,lò vi sóng,457599,3
3132,hai người đàn ông đang chơi tennis ở đâu,sân vận động,290690,3
3133,con mèo đang đi trên ván sàn bụi bặm ở đâu,nhà ở,489606,3
3134,một số quả cam sáng bóng chồng chất ở đâu,bát,193892,3
3135,mái vòm cao của vận động viên trượt ván ở đâu,đường bộ,277852,3
3136,con ngựa vàng nhìn qua cổng ở đâu,chuồng,500977,3
3137,coupe của nhà vệ sinh ở đâu,phòng,51949,3
3138,một số bông cải xanh ở đâu,món ăn,66708,3
3139,con mèo đen trắng nằm ở đâu,chậu,8786,3
3140,xe buýt trường học phản chiếu ở đâu,gương,509815,3
3141,"dụng cụ tắm, nhà vệ sinh và bồn tắm ở đâu",phòng tắm,320731,3
3142,con chó đen đang ở đâu,cái ghế,383658,3
3143,con mèo đen trắng đang ngồi ở đâu,chậu,567754,3
3144,cặp xúc xích ở đâu,cái rổ,429335,3
3145,những hộp đầy màu sắc được xếp chồng lên nhau ở đâu,gian hàng,452441,3
3146,bồn cầu trắng ở đâu,phòng tắm,375544,3
3147,nhà vệ sinh với một chỗ ngồi màu đen nằm ở đâu,phòng tắm,407214,3
3148,người phụ nữ đang đi xuống phố ở đâu,balo,64481,3
3149,con mèo nằm ở đâu,phòng,381384,3
3150,con mèo đang nằm ở đâu,chậu,575923,3
3151,người phụ nữ ngồi ở đâu,cái ghế,385150,3
3152,"nhà bếp cần lau dọn ở đâu, nhưng pizza đã sẵn sàng để được đặt",lò vi sóng,44774,3
3153,cậu bé ở đâu,giường,195952,3
3154,nơi hai chiếc xe máy đang dừng,đường bộ,464515,3
3155,con gấu nhồi bông đeo kính râm ở đâu,cái ghế,51359,3
3156,người đàn ông và phụ nữ nấu ăn ở đâu,phòng bếp,504257,3
3157,lọ hoa nằm ở cạnh cái gì,bát,127035,3
3158,một số cô gái và một người đang làm món ăn ở đâu,phòng bếp,2083,3
3159,những bông hoa ở đâu,lọ cắm hoa,406295,3
3160,máy bay nhỏ ở đâu trong khi một người đàn ông nhìn kỹ nó,ga-ra,138891,3
3161,máy bay mô hình đang được hiển thị ở đâu,bảo tàng,11707,3
3162,hươu cao cổ đang đứng ở đâu và một con đang ăn cỏ,tòa nhà,28976,3
3163,người phụ nữ chuyển sang đâu để nhìn vào camera,phòng bếp,342702,3
3164,giường được làm bằng khăn trải giường màu trắng ở đâu,phòng,425179,3
3165,con chó nhỏ đang tắm ở đâu,chậu,333407,3
3166,máy tính xách tay và đèn bàn nằm ở đâu,phòng,264363,3
3167,muỗng thức ăn ở đâu,bát,304608,3
3168,con mèo ngồi ở đâu,cái túi,207740,3
3169,một số động vật được nhìn thấy ở đâu,cửa tiệm,200133,3
3170,anh chàng trong một chiếc áo sọc ở đâu,giường,343608,3
3171,người đàn ông với nhẫn cưới chụp ảnh ở đâu,gương,255804,3
3172,những người đang làm việc trên máy tính ở đâu,thư viện,278742,3
3173,ở đâu có nhiều chai một đầu bếp với tạp dề,phòng bếp,235683,3
3174,hai con gấu bông ngồi ở đâu,cái ghế,554534,3
3175,người đàn ông nằm ở đâu trên một chiếc ghế dài,phòng,203479,3
3176,xe buýt trường học được phản chiếu ở đâu,gương,22755,3
3177,con chó lớn đang nằm ở đâu,giường,290753,3
3178,con mèo đang nằm ở đâu,chậu,306677,3
3179,một con mèo cam cuộn lên ở đâu,chậu,265447,3
3180,cậu bé đang ngồi ở đâu,chậu,18542,3
3181,người đàn ông đứng ở đâu,phòng,58105,3
3182,người phụ nữ đứng ở đâu,phòng bếp,33761,3
3183,con mèo đang đứng ở đâu,phòng bếp,112553,3
3184,giường ở đâu với tấm trải giường treo trên sàn nhà,phòng ngủ,259760,3
3185,máy bay mèo con diều hâu đậu ở đâu,ga-ra,506534,3
3186,con mèo đen trắng ngồi ở đâu,thùng chứa,435583,3
3187,"một số người đàn ông chuẩn bị thức ăn ở đâu, trong khi những người khác chờ đợi",phòng bếp,331676,3
3188,hai người phụ nữ đứng và nói chuyện ở đâu,cửa hàng,432349,3
3189,nửa cái bánh mì kẹp và mấy trái nho lót giấy ở đâu,cái rổ,536535,3
3190,một nhà bếp không có đồ đạc ở đâu,nhà ở,549575,3
3191,con mèo nằm ở đâu,vali,230548,3
3192,con mèo đen trắng đang nghỉ ngơi ở đâu,chậu,55468,3
3193,hai người đi bộ ở đâu,ván lướt sóng,7650,3
3194,người đàn ông đang giữ một ván trượt đang đứng ở đâu,ô cửa,511802,3
3195,một bức ảnh máy bay ở đâu,ga-ra,549011,3
3196,vài con bò đứng ở đâu,chuồng,309881,3
3197,gấu bắc cực đi lại ở đâu,vườn bách thú,306664,3
3198,người đàn ông đang khuấy động một cái gì đó ở đâu,chảo,281032,3
3199,hai người đang ở đâu,phòng ngủ,37326,3
3200,người đàn ông trẻ tuổi đang ở đâu,phòng tắm,505385,3
3201,người phụ nữ đang chơi một trò chơi điện tử ở đâu,phòng,368490,3
3202,người phụ nữ đang thưởng thức một món salad ở đâu,quán ăn,182997,3
3203,ngựa vằn đứng ở đâu,chuồng,160930,3
3204,người phụ nữ lấy một bức ảnh của mình ở đâu,phòng tắm,98298,3
3205,gấu bắc cực đang ở đâu,vườn bách thú,472181,3
3206,những bông hoa hướng dương cắm ở đâu,lọ cắm hoa,25377,3
3207,mèo đã cuộn tròn ở đâu,cái túi,480991,3
3208,một số chai đồ uống châu á được đánh dấu ở đâu,tủ lạnh,309087,3
3209,chiếc ô đen bị hỏng ở đâu,đường phố,483620,3
3210,một số xe hơi đậu ở đâu,đường phố,36639,3
3211,đứa trẻ đang nằm ở đâu,giường,84758,3
3212,ánh sáng phía trên vòi hoa sen ở đâu,phòng tắm,284153,3
3213,con chó nằm ở đâu,cái ghế,581097,3
3214,anh chàng ăn pizza ở đâu,chung cư,77903,3
3215,người đàn ông đang chụp ảnh tự sướng ở đâu,phòng tắm,354409,3
3216,mẹ và con trai làm kem ở đâu,phòng bếp,93258,3
3217,hai giường với một cửa sổ nhìn vào phòng tắm ở đâu,phòng,561677,3
3218,pizza lớn nằm ở đâu,hộp,570483,3
3219,người đang chờ tàu ở đâu,trạm,189798,3
3220,con mèo xám nằm cuộn tròn ở đâu,cái rổ,419273,3
3221,đầu bếp chuẩn bị thức ăn ở đâu,phòng bếp,310562,3
3222,anh chàng thổi khô tóc ở đâu,phòng tắm,432037,3
3223,em bé sơ sinh nằm ở đâu,giường,141965,3
3224,"chiếc bánh pizza với giăm bông, rau bina, nước sốt và phô mai được nấu ở đâu",lò vi sóng,338289,3
3225,xe buýt rời khỏi trạm xe buýt ở đâu,đường phố,553407,3
3226,một người phụ nữ châu á đang chụp ảnh tự sướng ở đâu,gương,237923,3
3227,người đang cầm xúc xích ở đâu,cái mâm,339639,3
3228,người phụ nữ tóc đỏ đang ở đâu,quán ăn,392319,3
3229,xe buýt xanh hai tầng dừng ở đâu,ga-ra,488932,3
3230,con mèo nhỏ đang nhìn ở đâu,gương,49810,3
3231,người đàn ông đứng ở đâu bên cạnh áo sơ mi,áo vest,153123,3
3232,nhóm hoa được phân cụm ở đâu,lọ cắm hoa,518180,3
3233,hai con ngựa kéo một người đàn ông ở đâu,xe,63893,3
3234,giường tắm nắng ở đâu,phòng ngủ,258495,3
3235,người mặc chiếc áo sọc đang ngồi ở đâu,phòng,121420,3
3236,nơi nào ba người đàn ông leo dốc bên cạnh những cái cây,trượt tuyết,14677,3
3237,cậu bé mặc tã và mũ santa ở đâu,phòng bếp,1360,3
3238,cặp vợ chồng đang ngồi ở đâu,chậu,300072,3
3239,con chó bị một người kéo ở đâu,vali,137931,3
3240,người đang nằm ở đâu,giường,361905,3
3241,xe máy đỗ ở đâu,ga-ra,27616,3
3242,người đàn ông đội mũ bảo hiểm ở đâu,gương,378375,3
3243,gấu bông nhỏ đang ngồi ở đâu,cái ghế,52992,3
3244,người đàn ông đang ngồi trên một chiếc ghế dài với máy tính xách tay ở đâu,phòng,336075,3
3245,người đàn ông đang nấu bữa tối ở đâu,phòng bếp,54692,3
3246,miếng bít tết được trang trí với mùi tây nằm ở đâu,chảo,531115,3
3247,cừu trưởng thành và em bé ở đâu,chuồng,468280,3
3248,cậu bé ở đâu tại một sân chơi trượt ván,ván trượt,510220,3
3249,"salad làm từ cà rốt, đậu xanh và zucchini chứa ở đâu",thùng chứa,473866,3
3250,con chó lớn nằm ở đâu,phòng,222317,3
3251,đám trẻ đang ăn pizza ở đâu,quán ăn,210845,3
3252,những tờ giấy được đánh số ở đâu,phòng bếp,417885,3
3253,con mèo màu đen cam trắng nằm ở đâu,vali,360157,3
3254,người đàn ông đứng ở đâu,gian hàng,222016,3
3255,người trẻ làm một mánh khóe trượt ván ở đâu,đường phố,181612,3
3256,phòng tắm lát gạch trắng sạch sẽ ở đâu,nhà ở,261144,3
3257,hai chiếc bánh rán nằm ở đâu,hộp,228133,3
3258,người đầu bếp rán cá ở đâu,phòng bếp,205601,3
3259,những bông hoa màu hồng duy nhất ở đâu,lọ cắm hoa,427613,3
3260,người phụ nữ đang ngồi trên một chiếc ghế dài ở đâu,phòng,117991,3
3261,con chó thò đầu vào bồn cầu ở đâu,phòng tắm,479134,3
3262,con chó đang ngồi ở đâu,cái ghế,317781,3
3263,những tấm lướt ván nghệ thuật được trưng bày ở đâu,cái lều,269366,3
3264,vợt tennis đã làm ở đâu,văn phòng,411857,3
3265,con chó đang ngồi ở đâu,chậu,333407,3
3266,đứa trẻ đang chơi với một cuộn giấy vệ sinh ở đâu,phòng tắm,436619,3
3267,người đàn ông đang nhảy lên để bắt một chiếc dĩa nhựa ở đâu,hồ bơi,170476,3
3268,người đàn ông làm khô tóc ở đâu,phòng tắm,414857,3
3269,"cà rốt, súp lơ và bông cải xanh đang nằm ở đâu",thùng chứa,557059,3
3270,bồn tắm nằm ở đâu,cửa sổ,390439,3
3271,dấu hiệu dừng màu đỏ ở đâu,cái rổ,120032,3
3272,mọi người đứng và ngồi ở đâu,tàu hoả,546126,3
3273,"người đàn ông thư giãn ở đâu,",cái ghế,160967,3
3274,người phụ nữ đang ngồi ở đâu,cái ghế,308936,3
3275,hươu cao cổ ăn và uống ở đâu,chuồng,430065,3
3276,người phụ nữ nằm ở đâu,giường,45425,3
3277,gương và một số cành cây trên tủ quần áo ở đâu,lọ cắm hoa,449693,3
3278,người đàn ông đang nằm ở đâu,giường,491784,3
3279,nơi phản ánh của một con gấu bông nhỏ,gương,511495,3
3280,người đàn ông đang sửa một cửa sổ ở đâu,phòng bếp,34212,3
3281,nhóm gấu teddy nằm ở đâu,cái rổ,203486,3
3282,con mèo đang ngồi ở đâu,vali,85131,3
3283,gấu bông nằm ở đâu,cái rổ,362659,3
3284,cô bé đang đứng ở đâu trong khi đánh răng,hộp,190863,3
3285,nhà vệ sinh ở đâu với một chân đứng ngồi trên nó,phòng tắm,511739,3
3286,nơi sắp xếp hoa nhiều màu trên bàn,lọ cắm hoa,148807,3
3287,con mèo đen đang nằm ở đâu,cái ghế,88082,3
3288,sáu người đàn ông chuẩn bị một bữa ăn như một người đàn ông khác nhìn vào,phòng bếp,51630,3
3289,hai chàng trai trẻ đang ăn pizza ở đâu,phòng bếp,175480,3
3290,cặp đèn được treo ở đâu,đường phố,437525,3
3291,bảy gấu bông ngồi ở đâu,toa xe,527073,3
3292,người đàn ông đang lấy hình ảnh của mình ở đâu,phòng tắm,555101,3
3293,người đàn ông đang chơi một trò chơi ở đâu,phòng,139523,3
3294,người phụ nữ đang nói chuyện ở đâu,xe ô tô,152566,3
3295,nhà vệ sinh trắng đang nằm ở đâu,phòng tắm,43340,3
3296,gối hoa màu xanh lá cây và hồng nằm ở đâu,phòng,47316,3
3297,con mèo béo đang ở đâu,chậu,55468,3
3298,người đàn ông đứng ở đâu,phòng bếp,521218,3
3299,đứa trẻ đang giữ một chiếc ô màu cam ở đâu,vòi hoa sen,46674,3
3300,ghế được gấp lại ở đâu,phương tiện giao thông,477061,3
3301,nhà vệ sinh trắng đang đặt ở đâu,phòng tắm,128736,3
3302,hình ảnh của cặp vợ chồng ở đâu,cửa sổ,239347,3
3303,nơi trang trí trông rất thanh lịch,nhà ở,298481,3
3304,đứa trẻ nhỏ ngủ ở đâu,giường,560726,3
3305,người đang giữ một dấu hiệu đi chậm lại ở đâu,áo vest,55882,3
3306,cây thông giáng sinh và vớ treo ở đâu,phòng,347928,3
3307,thuyền đậu ở đâu,bến du thuyền,345944,3
3308,con mèo đã lướt qua đâu ngủ,giường,452872,3
3309,con tàu dài đang ngồi ở đâu,trạm,27874,3
3310,bàn chải đánh răng và kem đánh răng ở đâu,cái lọ,403424,3
3311,con chó nâu đang nằm ở đâu,giường,372976,3
3312,khoai tây và hẹ hầm ở đâu,món ăn,310546,3
3313,con mèo đang nằm ở đâu,vali,96517,3
3314,bốn chai chất lỏng nằm ở đâu,tủ đá,132329,3
3315,mọi người đang chơi một trò chơi ở đâu,hồ bơi,56456,3
3316,người đàn ông và một cậu bé chơi một trò chơi video ở đâu,phòng,208379,3
3317,người đàn ông đáng sợ đang ở đâu tự ích kỷ,gương,218368,3
3318,con mèo nhìn thấy sự phản chiếu của nó ở đâu,gương,195886,3
3319,tỷ lệ mang nho và gà gia vị ở đâu,thùng chứa,166296,3
3320,bột được phết ở đâu,chảo,299326,3
3321,người đang cầm bánh rán ở đâu,cái túi,258725,3
3322,ba con thú nhồi bông ngồi ở đâu trong khi một tay cầm xúc xích với mù tạt,hộp,215523,3
3323,cậu bé và một người phụ nữ đang ngồi ở đâu,phòng,581637,3
3324,cặp vợ chồng đang đứng ở đâu,phòng bếp,106228,3
3325,sự phản chiếu của một người phụ nữ được nhìn thấy ở đâu,gương,237976,3
3326,người đàn ông đang chơi games ở đâu,phòng,283431,3
3327,đèn trên và hoa đỏ ở đâu,lọ cắm hoa,442060,3
3328,mặt trời chiếu sáng ở đâu,phòng tắm,420506,3
3329,hoa trắng và vàng được sắp xếp ở đâu,lọ cắm hoa,412172,3
3330,có một cây cổ thụ ở đâu,vườn bách thú,428837,3
3331,đứa trẻ trẻ nhìn ở đâu trong khi đánh răng,gương,554346,3
3332,bông hoa màu đỏ ở đâu,lọ cắm hoa,528127,3
3333,nơi người đàn ông trượt ván,ga-ra,103613,3
3334,người đàn ông đang dọn dẹp bồn cầu ở đâu,phòng tắm,342045,3
3335,con mèo ở đâu,máy bay,177413,3
3336,cửa tủ lạnh mở ra ở đâu,cửa,194616,3
3337,trận đấu quần vợt đang diễn ra ở đâu,sân vận động,39405,3
3338,con chó pug đen đang ở đâu,cái ghế,226308,3
3339,con mèo đang ngồi ở đâu,vali,230548,3
3340,nhóm bò đi bộ ở đâu,đường phố,21206,3
3341,người đàn ông chơi golf ở đâu,phòng,263323,3
3342,nhà vệ sinh và chậu vệ sinh ở đâu,phòng tắm,385962,3
3343,con gấu bông lớn màu nâu với đôi mắt đen đang ngồi ở đâu,cái ghế,11222,3
3344,người đàn ông mặc quần áo điều chỉnh cà vạt ở đâu,phòng ngủ,307316,3
3345,người đàn ông đang ngồi ở đâu,xe đẩy,520866,3
3346,cô bé đẻ ở đâu,giường,84155,3
3347,mèo con đang ở đâu,phòng tắm,184557,3
3348,nhóm đầu bếp nấu ăn ở đâu,phòng bếp,16125,3
3349,đâu là nơi băng ghế nép mình,lối đi,298141,3
3350,ba vali đang nằm ở đâu,sàn nhà,72995,3
3351,hai người đang chơi ở đâu,văn phòng,373881,3
3352,cô bé đang ăn hotdog và cưỡi ngựa ở đâu,xe đẩy,489739,3
3353,những con bò bị xiềng xích ở đâu,chuồng trại,232701,3
3354,người đàn ông chơi một trò chơi video ở đâu,phòng bếp,82822,3
3355,người đàn ông đang ngồi ở đâu,tòa tháp,229184,3
3356,nhóm lớn các ván trượt băng ở đâu,đường phố,145295,3
3357,cô gái và cậu bé đang chơi trò chơi điện tử ở đâu,phòng,506073,3
3358,cặp vợ chồng ở đâu,phòng tắm,464630,3
3359,người phụ nữ ăn bánh rán ở đâu,cửa tiệm,44170,3
3360,cô gái trẻ đang đứng ở đâu trong khi nhìn vào gương,phòng tắm,578651,3
3361,con mèo đen bóng ở đâu,vali,150919,3
3362,"cà rốt, rau và thực phẩm khác được khuấy ở đâu",bát,435328,3
3363,cặp vợ chồng ở đâu,ván lướt sóng,496552,3
3364,con mèo xám đang ngồi ở đâu,vali,408116,3
3365,pizza lớn ở đâu với nhiều nước sốt,hộp,551279,3
3366,xe buýt đỏ mang hành khách ở đâu,đường phố,59611,3
3367,nải chuối chín nằm ở đâu,cái túi,283144,3
3368,nơi đặt bồn rửa nhỏ,phòng tắm,231387,3
3369,ba bông hoa ở đâu,lọ cắm hoa,343445,3
3370,nhóm đàn ông đang làm gì ở đâu,máy xay,182367,3
3371,một số ngỗng trông rất dễ thương ở đâu,chuồng,344214,3
3372,gà tây được nướng ở đâu,chảo,260733,3
3373,hai quả táo và hai trái chuối đang nằm ở đâu,cái rổ,276781,3
3374,cô gái đang xem một trận đấu tennis ở đâu,phòng,469832,3
3375,hotdog được chứa ở đâu,hộp,430533,3
3376,những loại trái cây khác nhau được trình bày ở đâu,bát,579057,3
3377,con chó đứng ở đâu,ga-ra,579865,3
3378,hai nhà vệ sinh cũ và một bồn rửa nằm ở đâu,phòng,185276,3
3379,đứa trẻ nhỏ đang nhìn ở đâu,tủ lạnh,339051,3
3380,một con chó đen và trắng đang đứng ở đâu,bồn tắm,546762,3
3381,những người chơi bóng chày đang chơi ở đâu,sân vận động,540947,3
3382,hai người đàn ông đang ngồi và nói chuyện ở đâu,phòng,51555,3
3383,nơi nào làm bánh sô cô la ba tầng,cửa tiệm,36544,3
3384,pizza lớn với nhiều lớp phủ khác nhau ở đâu,hộp,476380,3
3385,người phụ nữ nướng bánh quy ở đâu,lò vi sóng,551713,3
3386,đèn bật sáng ở đâu,phòng ngủ,558378,3
3387,thú nhồi bông ở đâu,vali,180713,3
3388,bóng chày bị bắt ở đâu,găng tay,106331,3
3389,hai con hươu cao cổ đang ở đâu,vườn bách thú,219489,3
3390,phòng khách trông rất độc đáo và thoải mái ở đâu,nhà ở,148956,3
3391,người phụ nữ đang đi mua sắm ở đâu,cửa hàng,93298,3
3392,con mèo trắng lớn đang nằm ở đâu,ngăn kéo,578020,3
3393,anh chàng đang làm việc ở đâu,phòng,74924,3
3394,vali đầy màu sắc ở đâu,phòng,226363,3
3395,nơi nhồi bông gấu bông nằm,khung,362319,3
3396,cậu bé và một cô gái nấu ăn ở đâu,phòng bếp,161567,3
3397,cô gái trẻ đang diễn xuất ngớ ngẩn ở đâu,phòng,245853,3
3398,hai người đang chơi trò chơi wii ở đâu,phòng,326570,3
3399,những thứ thiết yếu cần thiết ở đâu,chung cư,22478,3
3400,người đàn ông đang chụp ảnh mình ở đâu,gương,235609,3
3401,cô gái trang trí bánh ở đâu,phòng bếp,461908,3
3402,người đàn ông đang chụp ảnh selfie ở đâu,phòng tắm,52611,3
3403,có nhiều đồ ăn để ở đâu,tủ lạnh,188352,3
3404,con mèo xiêm ngồi trên giường phản chiếu ở đâu,gương,43851,3
3405,người ở đâu với một số con mèo nằm ở bên cạnh,giường,365013,3
3406,ba người mặc tạp dề đang làm việc ở đâu,phòng bếp,215023,3
3407,con mèo xám và trắng nằm ở đâu,ngăn kéo,54182,3
3408,một thùng lớn và một nồi nhỏ ở đâu,phòng tắm,305464,3
3409,hai người đàn ông nói chuyện ở đâu trong khi một người phụ nữ đứng nhìn từ ngỏ vào,phòng bếp,128647,3
3410,người phụ nữ đang nướng gì đó bằng sô cô la,phòng bếp,193384,3
3411,nhà vệ sinh nằm ở đâu,phòng tắm,534521,3
3412,người đàn ông điều chỉnh cà vạt cổ ở đâu,gương,103547,3
3413,con chó bắt một cái dĩa hàng không,sân,407809,3
3414,một người đàn ông ngồi ở đâu,cửa tiệm,514293,3
3415,đâu là nhà vệ sinh cũ đã phá hủy,phòng,474279,3
3416,người trượt ván ở đâu,ga-ra,492548,3
3417,người phụ nữ cầm chiếc ô ở đâu,cửa sổ,89207,3
3418,hai người đàn ông và một đầu bếp phụ nữ ở đâu,phòng bếp,166926,3
3419,người đàn ông lái xe qua một vũng nước với một con chó ở đâu,con thuyền,81886,3
3420,con mèo lớn nằm ở đâu,cửa sổ,476530,3
3421,con mèo xiêm nằm ở đâu,chậu,84881,3
3422,cậu bé đặt đồ dùng bằng bạc ở đâu,ngăn kéo,365819,3
3423,người đàn ông trên xe đạp đang chuẩn bị đồ uống ở đâu khi phụ nữ đứng gần đó,máy xay,507444,3
3424,cặp bò nằm ở đâu,chuồng,307206,3
3425,màn hoa và khăn trải giường ở đâu,phòng,165410,3
3426,bánh sandwich được gói ở đâu,giấy bạc,254225,3
3427,tàu cao tốc nhật bản ở đâu,trạm,448786,3
3428,người đàn ông đang ngồi ở đâu,phòng bếp,115619,3
3429,người đàn ông thích nấu ăn ở đâu,chảo,410627,3
3430,bó dây bị rối nằm ở đâu,hộp,371927,3
3431,con mèo dính đầu ở đâu,lọ cắm hoa,22415,3
3432,hai người đàn ông sử dụng máy tính xách tay của apple ở đâu,tòa nhà,153985,3
3433,đâu là một vòi cứu hỏa sơn cũ,đường phố,5913,3
3434,đâu là hàng chục bánh rán đang nằm ở đâu,hộp,177148,3
3435,người đàn ông với một tấm ván lướt màu cam và hồng đang ở đâu,vạch kẻ đường,565740,3
3436,máy sấy tóc đen đang ở đâu,cái ghế,355124,3
3437,con mèo lớn đang ở đâu,chậu,460533,3
3438,xe tải và một bãi đậu xe nằm ở đâu,đường phố,497441,3
3439,người đàn ông và phụ nữ đang ở đâu,giường,536001,3
3440,những đứa trẻ ngựa vằn ở đâu,chuồng,126486,3
3441,con thỏ nhồi bông nằm ở đâu,chậu,193599,3
3442,trẻ mới biết đi ở đâu,cái ghế,375099,3
3443,người phụ nữ khỏa thân đang nằm ở đâu,giường,75055,3
3444,khu vực bếp được tổ chức rất độc đáo ở đâu,nhà ở,121232,3
3445,chuối và táo ở đâu,bát,276781,3
3446,tv lớn vẫn còn ở đâu,hộp,254007,3
3447,con chó lớn với một dây xích ngồi ở đâu,xe ô tô,90827,3
3448,bí ngô và các loại rau khác ở đâu,chảo,486159,3
3449,người đàn ông nướng bánh ở đâu,lò vi sóng,376776,3
3450,con thú nhồi bông trong trang phục thủy thủ ở đâu,phương tiện giao thông,126674,3
3451,người đàn ông chụp ảnh ở đâu,gương,312877,3
3452,trẻ em ăn ngũ cốc ở đâu,cái ghế,375099,3
3453,nhóm người ở đâu,phòng,84128,3
3454,một chiếc xe tải nhỏ màu cam ở đâu,đường phố,393412,3
3455,người đang làm việc trên máy tính xách tay ở đâu,xe ô tô,233706,3
3456,cận cảnh sự gia tăng ở đâu,lọ cắm hoa,32704,3
3457,người phụ nữ đang ngồi ở đâu,phòng bếp,269493,3
3458,người trượt ván trẻ đang nhảy vào đâu,đường ống,521339,3
3459,mèo nằm ở đâu,chậu,297440,3
3460,người đàn ông đang nhìn ở đâu,gương,190581,3
3461,đàn ông sử dụng máy tính xách tay ở đâu,thư viện,153985,3
3462,người đàn ông trẻ đang đeo cà vạt ở đâu,ô cửa,259366,3
3463,người phụ nữ đeo kính đang làm bữa tối ở đâu,phòng bếp,303431,3
3464,bà già nuôi chim ở đâu,đường phố,539791,3
3465,nơi có màu hồng che giường và bàn,phòng ngủ,142051,3
3466,bánh ngọt đang được nấu ở đâu,lò vi sóng,428599,3
3467,bông hoa được cắm ở đâu,lọ cắm hoa,147092,3
3468,chiếc xe mô tô đang dừng ở đâu,đường,386908,3
3469,nhà vệ sinh và bồn cầu ở đâu,phòng,394326,3
3470,một chiếc giường cổ nhìn ở đâu,bảo tàng,8332,3
3471,hai con bò ăn cỏ khô ở đâu,chuồng trại,369811,3
3472,con mèo đen đã cuộn tròn ở đâu,cái nồi,439132,3
3473,những đứa trẻ này đang bay diều của họ ở đâu,đường phố,467265,3
3474,người đàn ông đứng ở đâu,cửa hàng,454712,3
3475,những bánh pizza mới được tạo ra ở đâu,quán ăn,43581,3
3476,con mèo ngồi ở đâu,chậu,516636,3
3477,con mèo nằm ở đâu,vali,92801,3
3478,ngọn lửa trắng lớn đang ở đâu,phòng,260721,3
3479,xe tải với một cây đàn guitar ở đâu,đường đi bộ,362067,3
3480,người đàn ông và hai phụ nữ ở đâu,phòng bếp,466890,3
3481,nải chuối nằm ở đâu,cái rổ,127535,3
3482,bánh hotdog được gói ở đâu,giấy bạc,413358,3
3483,mọi người đang mang gì để leo lên đồi tuyết,trang thiết bị,555778,3
3484,con mèo ngồi ở đâu,bồn tắm,263493,3
3485,bàn chải đánh răng điện ở đâu,trạm,528541,3
3486,con mèo đang cuộn tròn ở đâu,bát,548498,3
3487,một số trái cây và rau quả ở đâu,thùng chứa,124914,3
3488,pizza đang nằm ở đâu,hộp,460830,3
3489,con mèo mịn nằm ở đâu,cái ghế,23731,3
3490,nhóm bò được hiển thị ở đâu,chuồng trại,357512,3
3491,chiếc giường nằm ở đâu,phòng,248918,3
3492,hai người phụ nữ đang ở đâu,phòng bếp,320875,3
3493,người đàn ông tập dùng điện thoại di động của mình ở đâu,xe điện ngầm,241126,3
3494,cô gái nhỏ đang ném một chiếc dĩa nhựa đỏ ở đâu,đường phố,74572,3
3495,người phụ nữ đang chụp ảnh tự sướng ở đâu,phòng tắm,93553,3
3496,người đàn ông đang chơi một trò chơi thể chất ở đâu,phòng,404395,3
3497,hai chiếc xe máy đang ở đâu,chuồng,42690,3
3498,pizza đã cắt thành tám lát,hộp,171467,3
3499,người đàn ông chuẩn bị đồ ăn ở đâu,phòng bếp,129563,3
3500,người đàn ông trong bộ đồ đen ở đâu,cái ghế,261050,3
3501,con hươu cao cổ trẻ đang bú mẹ của nó ở đâu,vườn bách thú,3178,3
3502,người phụ nữ sử dụng máy tính xách tay ở đâu,giường,171297,3
3503,bốn manơcanh mặc đồ nam ở đâu,ảnh chụp,16009,3
3504,những hành lý cổ nằm ở đâu,cửa sổ,489415,3
3505,cặp vợ chồng nấu ăn ở đâu,lò vi sóng,512892,3
3506,người đàn ông đang chơi đàn ở đâu,phòng bếp,402514,3
3507,một số người đang chơi một trò chơi điện tử ở đâu,phòng,168141,3
3508,một chiếc bánh pizza được làm ra ở đâu,lò vi sóng,140017,3
3509,con mèo đen trắng đang ngồi ở đâu,chậu,502204,3
3510,cây cỏ nhỏ đang cắm ở đâu,lọ cắm hoa,299380,3
3511,người đàn ông đứng ở đâu gần một quầy có thức ăn xếp chồng lên nhau,tạp dề,291207,3
3512,hai con ngựa vằn vây quanh đi dạo ở đâu,vườn bách thú,46009,3
3513,đứa trẻ nhỏ ngủ ở đâu,giường,84758,3
3514,hai con voi đứng bên cạnh nhau ở đâu,chuồng,463751,3
3515,những chiếc cà vạt nằm ở đâu,cửa tiệm,79453,3
3516,người phụ nữ đang ở đâu,gương,499552,3
3517,những người đang sử dụng máy tính xách tay của họ để học ở đâu,thư viện,331544,3
3518,nhóm người tập trung ở đâu,phòng,212633,3
3519,nội thất màu tối đang ở đâu,phòng,140108,3
3520,người phụ nữ và người đàn ông đứng ở đâu khi chơi trò chơi video,nhà ở,229427,3
3521,đứa trẻ đang ngồi ở đâu,vali,446880,3
